"com_name","com_code","nat"
"Aigues-Vives","34007",395.18137146817
"Aiguèze","30005",498.678597064923
"Aiguilhe","43002",221.641090909091
"Aiguilles","05003",542.160436720846
"Aiguillon","47004",274.586853931001
"Aiguines","83002",517.785845976372
"Aigurande","36001",279.247577810169
"Ailhon","07002",390.81772447787
"Aillant-sur-Milleron","45002",343.858882605879
"Aillas","33002",381.377878870799
"Ailleux","42002",371.102303320371
"Aillevans","70005",346.538662092624
"Ailleville","10002",347.5047238964
"Aillevillers-et-Lyaumont","70006",472.020779873115
"Aillianville","52003",448.052417182871
"Aillières-Beauvoir","72002",361.605256207079
"Aillon-le-Jeune","73004",507.072824261349
"Aillon-le-Vieux","73005",475.482642839822
"Ailloncourt","70007",395.381133510841
"Ailly","27005",287.17022685032
"Ailly-le-Haut-Clocher","80009",253.011895176049
"Ailly-sur-Noye","80010",294.211345080856
"Ailly-sur-Somme","80011",303.560991726799
"Aimargues","30006",261.29303374164
"Aime-la-Plagne","73006",466.977811619973
"Ainay-le-Château","03003",305.341195305924
"Ainay-le-Vieil","18002",296.314303111137
"Aincille","64011",398.469733811108
"Aincourt","95008",343.785934779167
"Aincreville","55004",304.931575725778
"Aingeray","54007",378.827002783792
"Aingeville","88003",311.655740001401
"Aingoulaincourt","52004",329.174949051575
"Ainharp","64012",383.374752571859
"Ainhice-Mongelos","64013",370.272930561004
"Ainhoa","64014",431.226603575184
"Ainvelle","70008",418.208701245541
"Ainvelle","88004",361.189217852408
"Airaines","80013",258.860240267249
"Aire","08004",271.064286135172
"Aire-sur-l'Adour","40001",309.002924218599
"Aire-sur-la-Lys","62014",243.77547106487
"Airel","50004",276.105462882441
"Airion","60008",291.729046200572
"Airon-Notre-Dame","62015",305.993488663999
"Airon-Saint-Vaast","62016",278.260787486516
"Airoux","11002",272.505331248223
"Airvault","79005",285.006978109851
"Aiserey","21005",263.578599028272
"Aisey-et-Richecourt","70009",357.589135927236
"Aisey-sur-Seine","21006",444.882135472147
"Aisonville-et-Bernoville","02006",278.057888244163
"Aïssey","25009",386.477529556558
"Aisy-sous-Thil","21007",284.195809487774
"Aisy-sur-Armançon","89004",426.107111287899
"Aiti","2B003",503.620013188262
"Aiton","73007",342.89472518821
"Aix","19002",360.082470839494
"Aix-en-Ergny","62017",271.537128914193
"Aix-en-Issart","62018",276.539454305868
"Aix-en-Pévèle","59004",253.834567301857
"Aix-en-Provence","13001",297.944926133165
"Aix-la-Fayette","63002",427.997571621788
"Aix-les-Bains","73008",274.671901474344
"Aix-Noulette","62019",265.635314725258
"Aix-Villemaur-Pâlis","10003",315.108480717432
"Aixe-sur-Vienne","87001",279.485975027413
"Aizac","07003",458.265351832265
"Aizanville","52005",347.076809621057
"Aize","36002",318.1763260147
"Aizecourt-le-Bas","80014",283.275354234073
"Aizecourt-le-Haut","80015",265.715581293706
"Aizelles","02007",342.846134888688
"Aizenay","85003",274.656020255338
"Aizier","27006",397.891919363036
"Aizy-Jouy","02008",330.552792841649
"Ajac","11003",379.033389594188
"Ajaccio","2A004",398.470037847445
"Ajain","23002",333.248654414974
"Ajat","24004",432.814939759036
"Ajoncourt","57009",270.124016869942
"Ajoux","07004",453.278041994241
"Alaigne","11004",352.407043270566
"Alaincourt","02009",261.121634293369
"Alaincourt","70010",407.446728216187
"Alaincourt-la-Côte","57010",267.059262128401
"Alairac","11005",374.286527377522
"Alan","31005",374.569310729734
"Alando","2B005",482.179392338177
"Alata","2A006",428.403577023499
"Alba-la-Romaine","07005",433.836201765056
"Alban","81003",320.537924843935
"Albaret-le-Comtal","48001",407.374552237797
"Albaret-Sainte-Marie","48002",382.376978270826
"Albas","11006",496.604351245085
"Albas","46001",451.153539823009
"Albé","67003",437.346065539553
"Albefeuille-Lagarde","82001",270.498909487459
"Albepierre-Bredons","15025",397.250732796724
"Albert","80016",225.081471256435
"Albertacce","2B007",566.513172462331
"Albertville","73011",333.638908681362
"Albestroff","57011",393.578462635841
"Albi","81004",217.777085573616
"Albiac","31006",276.542773109244
"Albiac","46002",322.536278923673
"Albias","82002",274.829121984533
"Albières","11007",468.926742450339
"Albiès","09004",551.005280968007
"Albiez-le-Jeune","73012",458.046921764876
"Albiez-Montrond","73013",463.844739336493
"Albignac","19003",384.789223067844
"Albigny-sur-Saône","69003",283.066656497865
"Albine","81005",462.141483516484
"Albitreccia","2A008",480.996391056096
"Albon","26002",278.577412334478
"Albon-d'Ardèche","07006",462.668123797867
"Alboussière","07007",370.688708303296
"Albussac","19004",359.851037326102
"Alby-sur-Chéran","74002",283.687854918483
"Alçay-Alçabéhéty-Sunharette","64015",569.085387659049
"Aldudes","64016",458.208627118345
"Alembon","62020",342.596338198463
"Alençon","61001",169.097554630593
"Alénya","66002",244.109659485754
"Aléria","2B009",385.842197217211
"Alès","30007",242.946880313257
"Alet-les-Bains","11008",432.078518933527
"Alette","62021",301.29441189081
"Aleu","09005",489.22417026597
"Alex","74003",471.950386567377
"Alexain","53002",273.950059918315
"Aleyrac","26003",510.261361573374
"Alfortville","94002",147.611382113821
"Algajola","2B010",389.158009708738
"Algans","81006",323.534949517364
"Algolsheim","68001",251.334787892179
"Algrange","57012",360.035967490922
"Alièze","39007",381.138907990648
"Alignan-du-Vent","34009",336.412238620975
"Alincourt","08005",272.589382838135
"Alincthun","62022",317.261655034895
"Alise-Sainte-Reine","21008",285.394317101511
"Alissas","07008",410.220213244267
"Alix","69004",307.573473917869
"Alixan","26004",239.936336370324
"Alizay","27008",283.320403092214
"Allain","54008",406.489461753641
"Allaines","80017",254.827315318726
"Allainville","28003",284.646651617758
"Allainville","78009",250.174539396315
"Allaire","56001",287.779465491036
"Allamont","54009",304.781869932724
"Allamps","54010",388.394165387146
"Allan","26005",376.215840851134
"Allanche","15001",321.157695456406
"Alland'Huy-et-Sausseuil","08006",263.339941262849
"Allarmont","88005",527.805221740987
"Allas-Bocage","17005",307.556358169551
"Allas-Champagne","17006",320.345468669083
"Allas-les-Mines","24006",394.147859276469
"Allassac","19005",313.255255193428
"Allauch","13002",400.957997127873
"Allègre","43003",389.5027036076
"Allègre-les-Fumades","30008",427.588960086713
"Alleins","13003",326.551090727627
"Allemagne-en-Provence","04004",431.251076767165
"Allemanche-Launay-et-Soyer","51004",256.128451191694
"Allemans","24007",313.201455071477
"Allemans-du-Dropt","47005",281.88230529595
"Allemant","02010",322.281890130354
"Allemant","51005",304.164226575121
"Allemond","38005",495.737957856032
"Allenay","80018",254.074342701723
"Allenc","48003",400.806599657081
"Allenjoie","25011",327.852623269371
"Allennes-les-Marais","59005",240.907636887608
"Allerey","21009",288.884799565045
"Allerey-sur-Saône","71003",296.352218479657
"Allériot","71004",338.7523795404
"Allery","80019",290.283952877983
"Alles-sur-Dordogne","24005",351.778506729874
"Alleuze","15002",396.036777008115
"Allevard","38006",479.800577210454
"Allèves","74004",521.720674453484
"Allex","26006",277.366941595638
"Alleyrac","43004",378.552576528833
"Alleyras","43005",476.49988810384
"Alleyrat","19006",371.636966597411
"Alleyrat","23003",333.018234772699
"Allez-et-Cazeneuve","47006",311.861626566509
"Alliancelles","51006",310.389820837613
"Alliat","09006",512.031604538088
"Allibaudières","10004",262.029939725305
"Allichamps","52006",319.65458830461
"Allier","65005",311.830616810483
"Allières","09007",417.034662889017
"Alligny-Cosne","58002",307.84794735265
"Alligny-en-Morvan","58003",404.512602291326
"Allineuc","22001",290.414525213051
"Allinges","74005",332.065814645552
"Allogny","18004",459.199040121648
"Alloinay","79136",275.994521450534
"Allondans","25013",414.324039362699
"Allondaz","73014",444.201587301587
